vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,6.21573,6.23854,6.28318,6.28301
0,0,0,0,6.21571,6.23851,6.28318,6.283
0,0,0,0,6.21568,6.23848,6.28318,6.283
0,0,0,0,6.21559,6.23843,6.28318,6.283
0,0,0,0,6.21542,6.23831,6.28318,6.283
0,0,0,0,6.21516,6.23814,6.28318,6.283
0,0,0,0,6.21494,6.23783,6.28318,6.283
0,0,0,0,6.21487,6.23754,6.28318,6.283
0,0,0,0,6.21485,6.23749,6.28318,6.283
0,0,0,0,6.21481,6.23749,6.28318,6.283
0,0,0,0,6.2147,6.23746,6.28318,6.283
0,0,0,0,6.2146,6.23742,6.28318,6.283
0,0,0,0,6.2146,6.23742,6.28318,6.283
0,0,0,0,6.28231,6.28247,0,0
0,0,0,0,6.28227,6.28229,0,0
0,0,0,0,6.2822,6.2822,0,0
0,0,0,0,6.28211,6.28215,0,0
0,0,0,0,6.28197,6.28209,0,0
0.00629623,0,0,0,6.28174,6.282,0,0
0,0,0,0,6.28151,6.28188,0,0
0,0,0,0,6.28141,6.28174,0,0
0,0,0,0,6.28134,6.28153,0,0
0,0,0,0,6.28127,6.28123,0,0
0,0,0,0,6.28119,6.28106,0,0
0,0,0,0,6.28109,6.28316,0,0
0,0,0,0,6.28094,6.28311,0,0
0,0,0,0,6.28067,6.28305,0,0
0,0,0,0,6.28031,6.28294,0,0
0,0,0,0,6.28021,6.28281,0,0
0,0,0,0,6.28018,6.28263,0,0
0,0,0,0,6.28016,6.28241,0,0
0,0,0,0,6.28013,6.28222,0,0
0,0,0,0,6.28007,6.28213,0,0
0,0,0,0,6.27998,6.28207,0,0
0,0,0,0,6.27987,6.282,0,0
0,0,0,0,6.2797,6.2819,0,0
0,0,0,0,6.27951,6.28174,0,0
0,0,0,0,6.27936,6.28152,0,0
0,0,0,0,6.27925,6.28105,0,0
0,0,0,0,6.27916,6.2809,0,0
0,0,0,0,6.27908,6.2809,0,0
0,0,0,0,6.279,6.2809,0,0
0,0,0,0,6.27884,6.28089,0,0
0,0,0,0,6.27863,6.28088,0,0
0,0,0,0,6.27833,6.28084,0,0
0,0,0,0,6.27809,6.28074,0,0
0,0,0,0,6.27802,6.28057,0,0
0,0,0,0,6.27799,6.28038,0,0
0,0,0,0,6.27796,6.28014,0,6.28318
0,0.00625324,0,0,6.27788,6.28001,0,6.28318
0,0,0,0,6.27774,6.27994,0,6.28318
0,0,0,0,6.27754,6.27987,0,6.28318
0.00628904,0,0,0,6.27723,6.27978,0,6.28318
0,0,0,0,6.27705,6.27967,0,6.28318
0,0,0,0,6.27702,6.27951,0,6.28318
0,0,0,0,6.27699,6.27927,0,6.28318
0,0,0,0,6.27695,6.27901,0,6.28318
0,0,0,0,6.28308,6.28245,0,6.28318
0,0,0,0,6.28294,6.28237,0,6.28318
0,0,0,0,6.28267,6.28226,0,6.28318
0,0,0,0,6.28234,6.2821,0,6.28318
0,0,0,0,6.28225,6.28192,0,6.28318
0,0,0,0,6.28221,6.28166,0,6.28318
0,0,0,0,6.28217,6.28142,0,6.28318
0,0,0,0,6.28209,6.28132,0,6.28317
0,0,0,0,6.28196,6.28128,0,6.28317
0,0,0,0,6.28177,6.28124,0,6.28316
0,0,0,0,6.28146,6.28116,0,6.28315
0,0,0,0,6.28118,6.28104,0,6.28313
0,0,0,0,6.28112,6.2809,0,6.28312
0,0,0,0,6.28108,6.28072,0,6.2831
0,0,0,0,6.28102,6.28048,0,6.28309
0,0,0,0,6.28093,6.28033,0,6.28307
0,0,0,0,6.28082,6.28028,0,6.28303
0,0,0,0,6.28063,6.28022,0,6.28298
0,0,0,0,6.2804,6.28016,0,6.28292
0,0,0,0,6.28018,6.28007,0,6.28289
0,0,0,0,6.28007,6.27995,6.28318,6.28288
0,0,0,0,6.28,6.27978,6.28318,6.28288
0,0,0,0,6.27992,6.27955,6.28318,6.28288
0,0,0,0,6.27981,6.27926,6.28318,6.28288
0,0,0,0,6.27965,6.27916,6.28318,6.28288
0,0,0,0,6.27941,6.27913,6.28318,6.28288
0,0,0,0,6.27907,6.2791,6.28318,6.28288
0,0,0,0,6.27897,6.27905,6.28318,6.28288
0,0,0,0,6.27895,6.27897,6.28318,6.28288
0,0,0,0,6.27893,6.27887,6.28318,6.28288
0,0,0,0,6.27889,6.27873,6.28318,6.28288
0,0,0,0,6.27881,6.2784,6.28318,6.28287
0,0,0,0,6.2787,6.27802,6.28318,6.28286
0,0,0,0,6.27858,6.27796,6.28318,6.28284
0,0,0,0,6.27837,6.27793,6.28318,6.28283
0,0,0,0,6.27812,6.27789,6.28318,6.2828
0,0,0,0,6.27799,6.27782,6.28318,6.28277
0,0,0,0,6.27792,6.27772,6.28318,6.28271
0,0,0,0,6.27785,6.27755,6.28318,6.28266
0,0,0,0,6.27768,6.27721,6.28318,6.28264
0,0,0,0,6.27746,6.27697,6.28318,6.28261
0,0,0,0,6.27703,6.27695,6.28318,6.28258
0,0,0,0,6.27673,6.27692,6.28318,6.28256
0,0,0,0,6.27672,6.27687,6.28318,6.28254
0,0,0,0,6.27672,6.27681,6.28318,6.28253
0,0,0,0,6.27671,6.27671,6.28318,6.28253
0,0,0,0,6.2767,6.27656,6.28318,6.28252
0,0,0,0,6.27666,6.27632,6.28318,6.28252
0,0,0,0,6.27658,6.276,6.28318,6.28252
0,0,0,0,6.27644,6.27582,6.28318,6.28251
0,0,0,0,6.27623,6.27577,6.28318,6.28251
0,0,0,0,6.27596,6.27574,6.28318,6.28251
0,0,0,0,6.2758,6.27571,6.28318,6.28251
0,0,0,0,6.27574,6.27567,6.28318,6.28251
0,0,0,0,6.27568,6.2756,6.28318,6.28251
0,0,0,0,6.27559,6.27544,6.28318,6.28251
0,0,0,0,6.27549,6.27519,6.28318,6.28251
0,0,0,0,6.27536,6.27495,6.28318,6.2825
0,0,0,0,6.27513,6.27486,6.28318,6.2825
0,0,0,0,6.27481,6.27483,6.28318,6.2825
0,0,0,0,6.27468,6.27479,6.28318,6.2825
0,0,0,0,6.27464,6.27473,6.28318,6.28249
0,0,0,0,6.27459,6.27465,6.28318,6.28249
0,0,0,0,6.27455,6.27452,6.28318,6.28249
0,0,0,0,6.27449,6.27435,6.28318,6.28249
0,0,0,0,6.2744,6.27413,6.28318,6.28249
0,0,0,0,6.27427,6.27391,6.28318,6.28249
0,0,0,0,6.2741,6.27378,6.28318,6.28249
0,0,0,0,6.27385,6.27373,6.28318,6.28248
0,0,0,0,6.27367,6.27368,6.28318,6.28248
0,0,0,0,6.27358,6.27362,6.28318,6.28247
0,0,0,0,6.27351,6.27354,6.28318,6.28247
0,0,0,0,6.27335,6.27344,6.28318,6.28246
0,0,0,0,6.27313,6.27333,6.28318,6.28246
0,0,0,0,6.27264,6.27311,6.28318,6.28246
0,0,0,0,6.27244,6.27268,6.28318,6.28246
0,0,0,0,6.27244,6.27244,6.28318,6.28246
0,0,0,0,6.27244,6.27238,6.28318,6.28245
0,0,0,0,6.27244,6.27236,6.28318,6.28245
0,0,0,0,6.27244,6.27232,6.28318,6.28245
0,0,0,0,6.27244,6.27223,6.28318,6.28244
