time_stamp [], traj_point [], x_pos [m], y_pos [m], heading [rad], lin_vel [m/s], ang_vel [rad/s]
0.000000000,0,2.45436,-9.58065e-06,5.7904e-07,0.3,0
0.000000000,0,2.46936,-9.57196e-06,5.7904e-07,0.3,0
0.000000000,0,2.48436,-9.56327e-06,5.7904e-07,0.3,0
0.000000000,0,2.49936,-9.55459e-06,5.7904e-07,0.3,0
0.000000000,0,2.51436,-9.5459e-06,5.7904e-07,0.3,0
0.000000000,0,2.52936,-9.53722e-06,5.7904e-07,0.3,0
0.000000000,0,2.54436,-9.52853e-06,5.7904e-07,0.3,0
0.000000000,0,2.55936,-9.51985e-06,5.7904e-07,0.3,0
0.000000000,0,2.57436,-9.51116e-06,5.7904e-07,0.3,0
0.000000000,0,2.58936,-9.50248e-06,5.7904e-07,0.3,0
0.000000000,0,2.60436,-9.49379e-06,5.7904e-07,0.3,0
0.000000000,0,2.61936,-9.4851e-06,5.7904e-07,0.3,0
0.000000000,0,2.63436,-9.47642e-06,5.7904e-07,0.3,0
0.000000000,0,2.64936,-9.46773e-06,5.7904e-07,0.3,0
0.000000000,0,2.66436,-9.45905e-06,5.7904e-07,0.3,0
0.000000000,0,2.67936,-9.45036e-06,5.7904e-07,0.3,0
0.000000000,0,2.69436,-9.44168e-06,5.7904e-07,0.3,0
0.000000000,0,2.70936,-9.43299e-06,5.7904e-07,0.3,0
0.000000000,0,2.72436,-9.4243e-06,5.7904e-07,0.3,0
0.000000000,0,2.73936,-9.41562e-06,5.7904e-07,0.3,0
0.000000000,0,2.75436,-9.40693e-06,5.7904e-07,0.3,0
0.000000000,0,2.76936,-9.39825e-06,5.7904e-07,0.3,0
0.000000000,0,2.78436,-9.38956e-06,5.7904e-07,0.3,0
0.000000000,0,2.79936,-9.38088e-06,5.7904e-07,0.3,0
0.000000000,0,2.81436,-9.37219e-06,5.7904e-07,0.3,0
0.000000000,0,2.82936,-9.3635e-06,5.7904e-07,0.3,0
0.000000000,0,2.84436,-9.35482e-06,5.7904e-07,0.3,0
0.000000000,0,2.85936,-9.34613e-06,5.7904e-07,0.3,0
0.000000000,0,2.87436,-9.33745e-06,5.7904e-07,0.3,0
0.000000000,0,2.88936,-9.32876e-06,5.7904e-07,0.3,0
0.000000000,0,2.90436,-9.32008e-06,5.7904e-07,0.3,0
0.000000000,0,2.91936,-9.31139e-06,5.7904e-07,0.3,0
0.000000000,0,2.93436,-9.3027e-06,5.7904e-07,0.3,0
0.000000000,0,2.94936,-9.29402e-06,5.7904e-07,0.3,0
0.000000000,0,2.96436,-9.28533e-06,5.7904e-07,0.3,0
0.000000000,0,2.97936,-9.27665e-06,5.7904e-07,0.3,0
0.000000000,0,2.99436,-9.26796e-06,5.7904e-07,0.3,0
0.000000000,0,3.00936,-9.25928e-06,5.7904e-07,0.3,0
0.000000000,0,3.02436,-9.25059e-06,5.7904e-07,0.3,0
0.000000000,0,3.03936,-9.24191e-06,5.7904e-07,0.3,0
0.000000000,0,3.05436,-9.23322e-06,5.7904e-07,0.3,0
0.000000000,0,3.06936,-9.22453e-06,5.7904e-07,0.3,0
0.000000000,0,3.08436,-9.21585e-06,5.7904e-07,0.3,0
0.000000000,0,3.09936,-9.20716e-06,5.7904e-07,0.3,0
0.000000000,0,3.11436,-9.19848e-06,5.7904e-07,0.3,0
0.000000000,0,3.12936,-9.18979e-06,5.7904e-07,0.3,0
0.000000000,0,3.14436,-9.18111e-06,5.7904e-07,0.3,0
0.000000000,0,3.15936,-9.17242e-06,5.7904e-07,0.3,0
0.000000000,0,3.17436,-9.16373e-06,5.7904e-07,0.3,0
0.000000000,0,3.18936,-9.15505e-06,5.7904e-07,0.3,0
0.000000000,0,3.20436,-9.14636e-06,5.7904e-07,0.3,0
0.000000000,0,3.21936,-9.13768e-06,5.7904e-07,0.3,0
0.000000000,0,3.23436,-9.12899e-06,5.7904e-07,0.3,0
0.000000000,0,3.24936,-9.12031e-06,5.7904e-07,0.3,0
0.000000000,0,3.26436,-9.11162e-06,5.7904e-07,0.3,0
0.000000000,0,3.27936,-9.10294e-06,5.7904e-07,0.3,0
0.000000000,0,3.29436,-9.09425e-06,5.7904e-07,0.3,0
0.000000000,0,3.30936,-9.08556e-06,5.7904e-07,0.3,0
0.000000000,0,3.32436,-9.07688e-06,5.7904e-07,0.3,0
0.000000000,0,3.33936,-9.06819e-06,5.7904e-07,0.3,0
0.000000000,0,3.35436,-9.05951e-06,5.7904e-07,0.3,0
0.000000000,0,3.36936,-9.05082e-06,5.7904e-07,0.3,0
0.000000000,0,3.38436,-9.04214e-06,5.7904e-07,0.3,0
0.000000000,0,3.39936,-9.03345e-06,5.7904e-07,0.3,0
0.000000000,0,3.41436,-9.02476e-06,5.7904e-07,0.3,0
0.000000000,0,3.42936,-9.01608e-06,5.7904e-07,0.3,0
0.000000000,0,3.44436,-9.00739e-06,5.7904e-07,0.3,0
