time_stamp [], x_pos [m], y_pos [m], heading [rad], x_vel [m/s], y_vel [m/s], ang_vel [rad/s]
1640150542.731952667,1.05454,0.00582864,0.0530095,-0.0365293,0.000920462,0.00128357
1640150542.792150736,1.05396,0.00581277,0.0530283,-0.0372852,0.000946862,0.00125084
1640150542.832458258,1.05542,0.00585318,0.0529781,-0.035619,0.000909128,0.00119416
1640150542.872570276,1.05396,0.00581309,0.053026,-0.03732,0.000956887,0.00119416
1640150542.892628908,1.05542,0.00585318,0.0529781,-0.0356108,0.000915165,0.00115337
1640150542.992968798,1.05451,0.00582847,0.053006,-0.0365419,0.000948856,0.00110442
1640150543.013024569,1.05542,0.00585318,0.0529781,-0.0354269,0.000921698,0.00107576
1640150543.053172827,1.05542,0.00585318,0.0529781,-0.035327,0.000922551,0.00105115
1640150543.093328476,1.05542,0.00585318,0.0529781,-0.0352067,0.000922709,0.0010271
1640150543.173702478,1.05398,0.00581489,0.0530183,-0.0365764,0.000965003,0.00100354
1640150543.227593899,1.05542,0.00585318,0.0529781,-0.0346661,0.000918507,0.000950546
1640150543.287919998,1.05542,0.00585318,0.0529781,-0.0343554,0.000914294,0.000917886
1640150543.334302902,1.0545,0.00582883,0.0530022,-0.035178,0.000939216,0.000907454
1640150543.374495268,1.05449,0.00582886,0.0530019,-0.0349392,0.000935363,0.000886682
1640150543.394601583,1.05542,0.00585318,0.0529781,-0.0337305,0.000904206,0.00086289
